danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,Expected Popularity
0.48873669,-0.525031517,1.011043903,-1.186538261,-1.144338828,-0.776572172,0.191514063,0.293292156,-0.588593113,1.235100224,1
1.287836143,-1.631401413,1.011043903,-1.151228861,0.873867054,-0.511761162,0.039092054,-0.36172225,-0.5345702,1.286874851,1
-0.041700016,0.288150356,-0.927795194,-1.060433262,0.873867054,1.808534563,1.563312135,-0.313972914,1.38258439,-0.007490815,1
-0.089921535,-2.278627802,0.180112862,-2.146617647,0.873867054,-0.690926976,2.917178207,1.4209381,-0.709156443,1.748531938,1
1.336057661,-0.436521925,-0.096864152,0.018352962,-1.144338828,-0.07172205,-0.60645998,-0.362960812,-0.767791068,-0.352654992,1
-0.634135817,1.162182574,0.457089875,1.615682939,0.873867054,-0.563935822,-0.478246173,-0.362960812,1.125646146,0.1176312,1
-0.489471261,0.072408227,-1.481749222,1.025511548,-1.144338828,-0.60921949,-0.539663276,-0.362960812,-0.448924118,-1.258710958,1
0.130519694,-0.336948635,0.457089875,0.422225236,0.873867054,-0.793307441,1.581244136,-0.362960812,0.229656372,0.419649855,1
1.032950972,0.000494183,1.564997931,0.560436314,0.873867054,-0.582639946,-0.586734779,-0.362924995,-0.737485531,-1.590931479,1
0.87450884,0.509424336,-1.481749222,0.412136837,0.873867054,-0.585593228,-0.22540496,-0.362960812,-0.231514835,-0.676246409,1
0.199407578,-0.353544183,-0.373841166,0.079892201,-1.144338828,-0.639736743,0.124269059,-0.362960812,-0.442335958,-0.11535462,1
-1.164572523,-1.570551069,0.180112862,-1.523827096,0.873867054,-0.631861323,2.769239199,-0.36287439,0.881884222,0.134889408,1
-0.379250647,1.344733607,-0.373841166,0.817690511,0.873867054,-0.726366367,-0.812524224,-0.125877874,2.891273054,-1.869651553,0
0.254517885,0.758357562,-1.481749222,0.504613835,0.873867054,-0.692895831,0.846032097,-0.362915937,0.038599729,1.282560299,1
-0.048588804,0.3600644,0.734066889,0.572206114,0.873867054,-0.55704483,-0.811516894,-0.360687034,0.578828858,0.398077094,1
-0.654802182,-1.415659283,-1.481749222,-1.179140101,0.873867054,-0.544247272,0.169099061,-0.362860063,-0.708497627,-1.556415061,1
-0.351695493,-1.277363046,-0.927795194,-1.459933897,0.873867054,-0.755899194,-0.692981884,3.805631982,-0.475276759,-1.94299894,1
-0.585914298,0.13879042,-1.481749222,-1.046309503,0.873867054,-0.746054918,-0.696119985,-0.166547072,-0.645910106,0.639692018,0
-1.364347386,1.162182574,-0.096864152,0.697302272,-1.144338828,-0.393629857,-0.773362079,-0.362960812,-0.132692434,-0.633100887,1
-1.398791328,1.554943887,0.734066889,0.687886433,-1.144338828,-0.306015805,-0.811552758,-0.362949998,-0.224926675,0.216865901,1
1.060506126,-0.890133583,1.011043903,-0.040496037,-1.144338828,0.105474909,-0.537870076,-0.362960812,0.480006456,0.251382318,1
0.226962731,0.216236313,1.011043903,0.246687079,0.873867054,-0.111099151,-0.324030965,-0.362960812,-0.55433468,-0.835884841,1
-0.565247933,0.714102766,-0.373841166,-0.474297231,-1.144338828,1.53289485,-0.60914978,-0.345491543,-0.90284835,-0.042007233,1
-0.15192063,1.588134984,-0.373841166,0.731602832,0.873867054,0.095630633,-0.80277056,2.705715036,0.512947257,-0.305194918,0
0.970951877,0.559210981,-1.204772208,0.365057637,0.873867054,-0.623001475,-0.759330288,-0.362318424,0.545888057,1.166067389,1
-0.716801278,0.45963769,1.564997931,0.790788111,0.873867054,-0.674191708,-0.572389178,-0.362955081,-0.501629399,-0.740964692,1
-0.599691875,-1.011834271,0.734066889,-0.479341431,0.873867054,-0.495025894,2.607851191,-0.362960812,0.638122299,1.424940522,1
0.722955495,0.24942741,-0.65081818,0.033485562,0.873867054,-0.749992629,1.222604117,-0.362954157,-0.834331485,1.351593134,0
0.91584157,1.41664765,-0.927795194,1.625098779,-1.144338828,-0.042189223,-0.216438959,-0.362960812,0.993882944,0.393762542,1
1.101838856,-0.519499668,-1.481749222,-0.849585705,-1.144338828,-0.73325736,-0.220921959,-0.361523526,-0.664356954,0.160776722,2
1.522054948,-0.408862678,0.180112862,0.390951197,0.873867054,-0.052033499,-0.573734078,-0.362960812,-0.495041239,0.553400974,1
