danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,edm,latin,pop,r&b,rap,rock,predicted_value
0.71,0.312,1.0,-11.451,0.0,0.0857,0.938,0.909,0.109,0.25,169.955,216015.0,0,1,0,0,0,0,0.0
0.777,0.779,0.0,-4.449,0.0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653.0,0,1,0,0,0,0,1.0
0.566,0.969,2.0,-3.369,0.0,0.046,0.0287,0.000442,0.281,0.641,100.012,355120.0,0,0,0,0,0,1,0.0
0.581,0.415,5.0,-9.125,0.0,0.435,0.802,0.00159,0.0961,0.352,89.076,185000.0,0,0,0,1,0,0,0.0
0.549,0.753,11.0,-4.728,0.0,0.104,0.656,0.0,0.442,0.55,112.361,193103.0,1,0,0,0,0,0,1.0
0.815,0.797,2.0,-6.304,1.0,0.186,0.0557,0.0,0.641,0.65,96.006,292840.0,0,0,0,0,1,0,0.0
0.747,0.897,5.0,-4.257,0.0,0.0642,0.0104,0.763,0.0541,0.177,126.036,175714.0,1,0,0,0,0,0,1.0
0.683,0.651,9.0,-8.015,1.0,0.0288,0.185,0.000251,0.0811,0.602,98.149,346933.0,0,0,0,0,0,1,0.0
0.881,0.874,6.0,-4.505,1.0,0.139,0.0175,1.19e-06,0.154,0.858,107.891,227933.0,0,0,1,0,0,0,1.0
0.515,0.934,0.0,-3.609,0.0,0.0482,0.00367,0.0,0.21,0.663,127.955,182827.0,0,0,0,0,1,0,0.0
0.335,0.33,0.0,-8.302,1.0,0.031,0.472,0.41,0.164,0.04,75.07,208000.0,0,0,1,0,0,0,0.0
0.764,0.555,11.0,-6.414,1.0,0.0604,0.275,0.0,0.0824,0.255,111.004,169227.0,0,0,1,0,0,0,1.0
0.772,0.591,6.0,-8.201,0.0,0.048,0.115,0.00011,0.94,0.359,98.94,333918.0,0,0,0,1,0,0,0.0
0.762,0.565,7.0,-5.789,0.0,0.31,0.119,0.0,0.318,0.553,84.997,230240.0,0,0,0,0,1,0,0.0
0.571,0.89,9.0,-1.6,1.0,0.0395,0.00509,0.0,0.0769,0.751,110.958,234147.0,0,0,0,0,0,1,0.0
0.8,0.746,1.0,-7.233,1.0,0.274,0.311,0.0,0.0769,0.839,101.376,229160.0,0,1,0,0,0,0,0.0
0.662,0.748,5.0,-3.041,0.0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027.0,0,0,0,1,0,0,1.0
0.876,0.766,11.0,-6.324,1.0,0.186,0.0298,0.0004,0.0864,0.771,104.998,172714.0,1,0,0,0,0,0,0.0
0.703,0.7,5.0,-6.789,1.0,0.0693,0.302,0.471,0.0718,0.582,97.675,265107.0,0,0,0,1,0,0,0.0
0.783,0.929,11.0,0.551,0.0,0.0893,0.2,0.00414,0.689,0.152,118.03,134447.0,0,0,0,0,1,0,0.0
0.582,0.763,0.0,-7.288,1.0,0.0308,0.00228,0.000332,0.101,0.327,132.178,243520.0,0,0,1,0,0,0,0.0
0.674,0.915,6.0,-3.719,0.0,0.0424,0.389,0.803,0.103,0.28,150.011,204852.0,0,0,0,0,1,0,0.0
0.479,0.601,7.0,-8.806,1.0,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027.0,0,0,0,0,0,1,0.0
0.756,0.589,0.0,-5.093,1.0,0.232,0.0812,0.0,0.176,0.811,146.928,205593.0,0,0,1,0,0,0,1.0
0.542,0.82,3.0,-10.982,1.0,0.0512,0.198,0.00172,0.0497,0.762,116.666,214047.0,0,0,0,0,0,1,0.0
0.518,0.385,4.0,-14.636,1.0,0.0339,0.23,0.000226,0.124,0.712,86.604,265547.0,0,0,0,0,0,1,1.0
0.686,0.579,10.0,-5.813,1.0,0.0442,0.334,0.0,0.135,0.352,145.051,231267.0,0,1,0,0,0,0,1.0
0.505,0.861,8.0,-5.061,0.0,0.202,0.0144,0.00506,0.0957,0.316,128.037,279385.0,1,0,0,0,0,0,0.0
0.606,0.775,0.0,-6.038,0.0,0.04,0.0086,0.498,0.305,0.508,140.013,258547.0,0,0,1,0,0,0,0.0
0.667,0.766,7.0,-5.513,0.0,0.0905,0.282,0.0,0.127,0.724,74.776,208074.0,0,0,0,0,1,0,0.0
0.638,0.813,8.0,-5.303,0.0,0.0648,0.00783,0.0,0.281,0.689,130.1,201266.0,0,1,0,0,0,0,0.0
0.62,0.73,2.0,-7.625,1.0,0.209,0.0101,4.76e-05,0.624,0.523,96.01,231345.0,0,0,0,0,0,1,0.0
0.823,0.526,5.0,-7.01,0.0,0.0782,0.0308,0.0,0.0955,0.314,101.987,225722.0,0,0,0,1,0,0,1.0
0.622,0.446,9.0,-9.647,0.0,0.22,0.318,0.0135,0.0904,0.168,68.85,215045.0,0,0,0,1,0,0,0.0
0.589,0.14,0.0,-10.446,1.0,0.246,0.346,0.00312,0.0703,0.327,80.768,230533.0,0,0,0,1,0,0,0.0
0.82,0.782,10.0,-5.469,0.0,0.326,0.0315,0.0,0.118,0.608,144.962,198853.0,0,0,0,0,1,0,0.0
0.643,0.801,6.0,-4.921,1.0,0.0228,0.0298,0.0,0.0719,0.534,95.988,270333.0,0,0,0,0,0,1,1.0
0.628,0.828,1.0,-7.993,1.0,0.0518,0.00446,1.48e-05,0.0908,0.748,97.926,252000.0,0,0,0,1,0,0,0.0
0.896,0.562,11.0,-12.899,0.0,0.306,0.0206,0.0,0.103,0.683,90.353,286511.0,0,0,0,0,1,0,0.0
0.712,0.562,10.0,-6.008,1.0,0.129,0.125,0.0,0.136,0.142,140.0,236480.0,0,0,0,1,0,0,1.0
0.582,0.902,7.0,-5.098,1.0,0.0707,0.00835,0.715,0.513,0.23,127.985,281773.0,1,0,0,0,0,0,0.0
0.783,0.574,9.0,-9.463,0.0,0.0642,0.0378,0.916,0.0686,0.0399,126.032,208400.0,1,0,0,0,0,0,0.0
0.653,0.928,1.0,-3.937,1.0,0.0885,0.00213,0.601,0.649,0.239,150.025,249600.0,0,0,0,0,1,0,0.0
0.625,0.536,8.0,-8.962,1.0,0.0354,0.572,8.03e-05,0.119,0.729,129.178,192973.0,0,0,0,0,0,1,0.0
0.61,0.305,4.0,-14.037,1.0,0.053,0.653,0.0,0.103,0.222,113.818,206975.0,0,0,1,0,0,0,0.0
0.841,0.694,7.0,-5.114,0.0,0.0937,0.0759,0.0,0.102,0.83,90.034,186976.0,0,1,0,0,0,0,1.0
0.647,0.805,4.0,-6.269,0.0,0.0279,0.00789,0.00211,0.168,0.707,114.638,200667.0,0,0,0,0,0,1,1.0
0.855,0.746,3.0,-3.777,0.0,0.232,0.402,0.0,0.146,0.375,95.026,321987.0,0,1,0,0,0,0,1.0
0.804,0.681,11.0,-10.055,1.0,0.0855,4.61e-05,0.847,0.0387,0.808,124.996,205920.0,1,0,0,0,0,0,0.0
